Interval=	0.001 s
ExcelDateTime=	4.3161461872426349e+004	3/2/2018 11:05:05.777636
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3
Range=	0.8691 V	10.000 V
0.732	0.0419	0.003
0.733	0.0419	-0.003
0.734	0.0419	-0.009
0.735	0.0419	-0.016
0.736	0.0419	-0.020
0.737	0.0419	-0.028
0.738	0.0419	-0.033
0.739	0.0419	-0.033
0.74	0.0419	-0.028
0.741	0.0419	-0.023
0.742	0.0419	-0.017
0.743	0.0419	-0.009
0.744	0.0419	-0.002
0.745	0.0419	0.005
0.746	0.0400	0.010
0.747	0.0362	0.009
0.748	0.0362	0.007
0.749	0.0362	0.001
0.75	0.0362	-0.004
0.751	0.0362	-0.011
0.752	0.0362	-0.018
0.753	0.0362	-0.023
0.754	0.0362	-0.026
0.755	0.0362	-0.026
0.756	0.0362	-0.026
0.757	0.0362	-0.019
0.758	0.0362	-0.014
0.759	0.0362	-0.009
0.76	0.0362	-0.002
0.761	0.0362	0.005
0.762	0.0362	0.009
0.763	0.0535	0.011
0.764	0.0881	0.010
0.765	0.0881	0.006
0.766	0.0881	0.000
0.767	0.0881	-0.005
0.768	0.0881	-0.012
0.769	0.0881	-0.018
0.77	0.0881	-0.023
0.771	0.0881	-0.026
0.772	0.0881	-0.025
0.773	0.0881	-0.023
0.774	0.0881	-0.018
0.775	0.0881	-0.012
0.776	0.0881	-0.004
0.777	0.0881	0.002
0.778	0.0881	0.007
0.779	0.0881	0.013
0.78	0.0881	0.017
0.781	0.0881	0.021
0.782	0.0881	0.025
0.783	0.0881	0.031
0.784	0.0881	0.041
0.785	0.0881	0.051
0.786	0.0881	0.056
0.787	0.0881	0.063
0.788	0.0961	0.066
0.789	0.1122	0.066
0.79	0.1122	0.063
0.791	0.1122	0.059
0.792	0.1122	0.052
0.793	0.1122	0.045
0.794	0.1122	0.033
0.795	0.1122	0.017
0.796	0.1122	0.002
0.797	0.1122	-0.007
0.798	0.1122	-0.013
0.799	0.1122	-0.022
0.8	0.1122	-0.028
0.801	0.1122	-0.035
0.802	0.1122	-0.040
0.803	0.1122	-0.043
0.804	0.1122	-0.046
0.805	0.1122	-0.047
0.806	0.1122	-0.043
0.807	0.1122	-0.037
0.808	0.1122	-0.032
0.809	0.1122	-0.023
0.81	0.1122	-0.016
0.811	0.1122	-0.009
0.812	0.1122	-0.002
0.813	0.1122	0.000
0.814	0.0892	0.001
0.815	0.0431	-0.001
0.816	0.0431	-0.006
0.817	0.0431	-0.012
0.818	0.0431	-0.017
0.819	0.0431	-0.021
0.82	0.0431	-0.026
0.821	0.0431	-0.028
0.822	0.0431	-0.028
0.823	0.0431	-0.026
0.824	0.0431	-0.020
0.825	0.0431	-0.014
0.826	0.0431	-0.006
0.827	0.0431	0.001
0.828	0.0431	0.008
0.829	0.0431	0.013
0.83	0.0431	0.015
0.831	0.0405	0.016
0.832	0.0353	0.011
0.833	0.0353	0.003
0.834	0.0353	-0.003
0.835	0.0353	-0.010
0.836	0.0353	-0.014
0.837	0.0353	-0.017
0.838	0.0353	-0.020
0.839	0.0353	-0.020
0.84	0.0353	-0.017
0.841	0.0353	-0.011
0.842	0.0353	-0.004
