Time,Channel 1,Channel 2,Channel 3
0.561,-34.22,0.5688,-0.300
0.562,46.72,0.5688,-0.277
0.563,43.91,0.5688,-0.206
0.564,64.53,0.5688,-0.189
0.565,127.03,0.5688,-0.077
0.566,82.81,0.5688,0.065
0.567,47.03,0.5688,0.088
0.568,84.37,0.5688,0.159
0.569,38.91,0.3915,0.257
0.57,-18.44,0.0369,0.237
0.571,3.91,0.0369,0.220
0.572,-48.75,0.2068,0.244
0.573,-134.53,0.5466,0.123
0.574,-92.50,0.5466,-0.025
0.575,-87.66,0.5466,-0.062
0.576,-120.00,0.5466,-0.200
0.577,-25.62,0.5466,-0.302
0.578,12.97,0.5244,-0.251
0.579,-7.50,0.4800,-0.276
0.58,70.00,0.4800,-0.266
0.581,119.06,0.4800,-0.136
0.582,79.38,0.4800,-0.028
0.583,88.75,0.4800,0.022
0.584,84.69,0.4800,0.149
0.585,27.19,0.4800,0.192
0.586,48.75,0.4800,0.204
0.587,34.53,0.5246,0.289
0.588,-66.41,0.6137,0.273
0.589,-76.09,0.6137,0.157
0.59,-71.56,0.6137,0.121
0.591,-135.78,0.6137,0.013
0.592,-93.12,0.6137,-0.151
0.593,-37.97,0.6137,-0.173
0.594,-75.78,0.6137,-0.227
0.595,-6.72,0.6137,-0.324
0.596,82.66,0.6137,-0.240
0.597,56.72,0.6137,-0.159
0.598,79.69,0.6137,-0.127
0.599,130.47,0.6137,0.000
0.6,76.87,0.6137,0.134
0.601,43.59,0.6137,0.154
0.602,63.91,0.6137,0.221
0.603,9.84,0.4342,0.282
0.604,-37.50,0.0750,0.241
0.605,-7.19,0.0750,0.207
0.606,-71.09,0.2214,0.227
0.607,-146.87,0.5141,0.065
0.608,-76.25,0.5141,-0.067
0.609,-73.28,0.5141,-0.088
0.61,-97.81,0.5141,-0.214
0.611,-7.19,0.5141,-0.283
0.612,39.69,0.5141,-0.228
0.613,26.72,0.5141,-0.204
0.614,94.38,0.5141,-0.175
0.615,116.87,0.5141,-0.015
0.616,55.78,0.5141,0.059
0.617,85.78,0.5141,0.096
0.618,86.09,0.5141,0.231
0.619,6.25,0.3511,0.268
0.62,9.22,0.0253,0.243
0.621,-6.41,0.2066,0.287
0.622,-88.44,0.5691,0.230
0.623,-98.91,0.5691,0.110
0.624,-75.16,0.5691,0.033
0.625,-116.41,0.5691,-0.040
0.626,-98.13,0.5691,-0.200
0.627,-21.09,0.5691,-0.237
0.628,-22.81,0.5691,-0.242
0.629,25.94,0.5691,-0.282
0.63,105.78,0.5691,-0.191
0.631,91.72,0.5691,-0.071
0.632,79.84,0.5691,-0.007
0.633,107.81,0.5691,0.089
0.634,70.47,0.5691,0.208
0.635,22.97,0.5691,0.230
0.636,42.34,0.5691,0.254
0.637,-19.06,0.5932,0.315
0.638,-68.75,0.6416,0.216
0.639,-35.78,0.6416,0.177
0.64,-95.62,0.6416,0.145
0.641,-140.31,0.6416,-0.014
0.642,-85.00,0.6416,-0.136
0.643,-77.97,0.6416,-0.184
0.644,-71.41,0.6416,-0.292
0.645,39.69,0.6416,-0.327
0.646,74.84,0.6416,-0.212
0.647,38.75,0.6416,-0.177
