Interval=	0.001 s
ExcelDateTime=	4.5310468778679533e+004	1/19/2024 11:15:02.477911
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3
Range=	0.6548 V	10.000 V
0.787	0.0163	0.244
0.788	0.2003	0.264
0.789	0.5684	0.176
0.79	0.5684	0.029
0.791	0.5684	0.004
0.792	0.5684	-0.098
0.793	0.5684	-0.229
0.794	0.5684	-0.253
0.795	0.5684	-0.284
0.796	0.5684	-0.304
0.797	0.5684	-0.173
0.798	0.5684	-0.077
0.799	0.5684	-0.022
0.8	0.5684	0.113
0.801	0.5684	0.223
0.802	0.5684	0.221
0.803	0.5684	0.264
0.804	0.5869	0.278
0.805	0.6237	0.170
0.806	0.6237	0.134
0.807	0.6237	0.059
0.808	0.6237	-0.087
0.809	0.6237	-0.150
0.81	0.6237	-0.211
0.811	0.6237	-0.345
0.812	0.6237	-0.344
0.813	0.6237	-0.208
0.814	0.6237	-0.179
0.815	0.6237	-0.100
0.816	0.6237	0.068
0.817	0.6237	0.120
0.818	0.6237	0.150
0.819	0.4337	0.269
0.82	0.0538	0.267
0.821	0.0538	0.215
0.822	0.2072	0.231
0.823	0.5141	0.141
0.824	0.5141	-0.014
0.825	0.5141	-0.060
0.826	0.5141	-0.154
0.827	0.5141	-0.283
0.828	0.4849	-0.257
0.829	0.4266	-0.275
0.83	0.4266	-0.274
0.831	0.4266	-0.136
0.832	0.4266	-0.005
0.833	0.4266	0.050
0.834	0.4266	0.152
0.835	0.2917	0.243
0.836	0.0219	0.221
0.837	0.0219	0.238
0.838	0.2020	0.253
0.839	0.5622	0.147
0.84	0.5622	0.067
0.841	0.5622	0.015
0.842	0.5622	-0.146
0.843	0.5622	-0.235
0.844	0.5622	-0.242
0.845	0.5622	-0.309
0.846	0.5622	-0.282
0.847	0.5622	-0.151
0.848	0.5622	-0.118
0.849	0.5622	-0.033
0.85	0.5622	0.133
0.851	0.5622	0.153
0.852	0.5622	0.176
0.853	0.5693	0.281
0.854	0.5834	0.242
0.855	0.5834	0.188
0.856	0.5834	0.188
0.857	0.5834	0.077
0.858	0.5834	-0.092
0.859	0.5834	-0.120
0.86	0.5834	-0.214
0.861	0.5834	-0.302
0.862	0.5834	-0.274
0.863	0.5834	-0.216
0.864	0.5834	-0.208
0.865	0.5834	-0.078
0.866	0.5834	0.036
0.867	0.5834	0.075
0.868	0.5834	0.172
0.869	0.4017	0.251
0.87	0.0381	0.213
0.871	0.0381	0.217
0.872	0.1917	0.233
0.873	0.4988	0.108
0.874	0.4988	-0.009
0.875	0.4988	-0.072
0.876	0.4988	-0.204
0.877	0.4988	-0.266
0.878	0.4997	-0.244
0.879	0.5016	-0.269
0.88	0.5016	-0.230
0.881	0.5016	-0.084
0.882	0.5016	-0.042
0.883	0.5016	0.024
0.884	0.5016	0.175
0.885	0.5016	0.205
0.886	0.5016	0.233
0.887	0.5333	0.282
0.888	0.5969	0.216
0.889	0.5969	0.147
0.89	0.5969	0.129
0.891	0.5969	-0.034
0.892	0.5969	-0.154
0.893	0.5969	-0.161
0.894	0.5969	-0.260
0.895	0.5969	-0.315
0.896	0.5969	-0.206
0.897	0.5969	-0.153
0.898	0.5969	-0.140
0.899	0.5969	0.012
0.9	0.5969	0.114
0.901	0.5969	0.149
0.902	0.5969	0.244
0.903	0.5821	0.270
0.904	0.5525	0.215
0.905	0.5525	0.223
0.906	0.5525	0.183
0.907	0.5525	0.023
0.908	0.5525	-0.075
0.909	0.5525	-0.128
0.91	0.5525	-0.253
0.911	0.5525	-0.283
0.912	0.5525	-0.245
0.913	0.5525	-0.240
0.914	0.5525	-0.162
0.915	0.5525	-0.017
0.916	0.5525	0.037
0.917	0.5525	0.115
0.918	0.5525	0.237
0.919	0.3721	0.250
0.92	0.0112	0.238
0.921	0.2122	0.304
0.922	0.6141	0.209
0.923	0.6141	0.081
0.924	0.6141	0.015
0.925	0.6141	-0.098
0.926	0.6141	-0.226
0.927	0.6141	-0.227
0.928	0.6141	-0.287
0.929	0.6141	-0.310
0.93	0.6141	-0.178
0.931	0.6141	-0.113
0.932	0.6141	-0.066
0.933	0.6141	0.088
0.934	0.6141	0.146
0.935	0.6141	0.145
0.936	0.6141	0.266
0.937	0.6236	0.302
0.938	0.6428	0.230
0.939	0.6428	0.205
0.94	0.6428	0.153
0.941	0.6428	-0.033
0.942	0.6428	-0.110
0.943	0.6428	-0.174
0.944	0.6428	-0.297
0.945	0.6428	-0.340
0.946	0.6428	-0.235
0.947	0.6428	-0.193
0.948	0.6428	-0.122
0.949	0.6428	0.068
0.95	0.6428	0.099
0.951	0.6428	0.147
0.952	0.4400	0.259
0.953	0.0344	0.237
0.954	0.0344	0.225
0.955	0.1949	0.244
0.956	0.5159	0.141
0.957	0.5159	0.015
0.958	0.5159	-0.038
0.959	0.5159	-0.157
0.96	0.5159	-0.272
0.961	0.5049	-0.229
0.962	0.4828	-0.277
0.963	0.4828	-0.269
0.964	0.4828	-0.129
0.965	0.4828	-0.038
0.966	0.4828	0.000
0.967	0.4828	0.150
0.968	0.4828	0.202
0.969	0.4828	0.206
0.97	0.5118	0.275
0.971	0.5697	0.275
0.972	0.5697	0.175
0.973	0.5697	0.149
0.974	0.5697	0.055
0.975	0.5697	-0.092
0.976	0.5697	-0.165
0.977	0.5697	-0.223
0.978	0.5697	-0.294
0.979	0.5697	-0.272
0.98	0.5697	-0.188
0.981	0.5697	-0.157
0.982	0.5697	-0.052
0.983	0.5697	0.079
0.984	0.5697	0.120
0.985	0.5697	0.183
0.986	0.4070	0.278
0.987	0.0816	0.237
0.988	0.0816	0.196
0.989	0.2324	0.236
0.99	0.5341	0.104
0.991	0.5341	-0.075
0.992	0.5341	-0.090
0.993	0.5341	-0.188
0.994	0.5341	-0.298
0.995	0.5341	-0.245
0.996	0.5341	-0.230
0.997	0.5341	-0.210
